loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5069,184.0,5e-05,0.00256,1,,,,,
0.648,88.0,5e-05,0.00512,2,,,,,
3.4913,548.0,5e-05,0.00768,3,,,,,
5.9144,1872.0,5e-05,0.01024,4,,,,,
1.578,124.0,5e-05,0.0128,5,,,,,
0.3404,11.0,5e-05,0.01536,6,,,,,
0.4499,27.5,5e-05,0.01792,7,,,,,
3.7382,173.0,5e-05,0.02048,8,,,,,
9.7422,290.0,5e-05,0.02304,9,,,,,
10.691,272.0,5e-05,0.0256,10,,,,,
4.881,222.0,5e-05,0.02816,11,,,,,
10.2517,182.0,5e-05,0.03072,12,,,,,
10.3404,143.0,5e-05,0.03328,13,,,,,
9.9364,140.0,5e-05,0.03584,14,,,,,
7.5713,138.0,5e-05,0.0384,15,,,,,
5.099,168.0,5e-05,0.04096,16,,,,,
2.5229,124.5,5e-05,0.04352,17,,,,,
4.0788,104.0,5e-05,0.04608,18,,,,,
4.3899,96.0,5e-05,0.04864,19,,,,,
7.4893,166.0,5e-05,0.0512,20,,,,,
6.2838,149.0,5e-05,0.05376,21,,,,,
3.2818,125.5,5e-05,0.05632,22,,,,,
2.4229,91.0,5e-05,0.05888,23,,,,,
1.8887,86.0,5e-05,0.06144,24,,,,,
1.5166,92.5,5e-05,0.064,25,,,,,
1.1631,65.5,5e-05,0.06656,26,,,,,
1.1022,48.75,5e-05,0.06912,27,,,,,
0.9817,24.875,5e-05,0.07168,28,,,,,
1.6824,82.0,5e-05,0.07424,29,,,,,
1.6225,84.5,5e-05,0.0768,30,,,,,
0.8581,38.25,5e-05,0.07936,31,,,,,
2.0916,89.5,5e-05,0.08192,32,,,,,
2.2544,89.0,5e-05,0.08448,33,,,,,
1.4829,77.0,5e-05,0.08704,34,,,,,
1.0926,66.5,5e-05,0.0896,35,,,,,
1.4998,104.0,5e-05,0.09216,36,,,,,
1.0443,84.0,5e-05,0.09472,37,,,,,
0.7006,51.5,5e-05,0.09728,38,,,,,
0.9596,67.5,5e-05,0.09984,39,,,,,
0.5567,33.5,5e-05,0.1024,40,,,,,
0.4025,9.625,5e-05,0.10496,41,,,,,
0.4884,34.75,5e-05,0.10752,42,,,,,
0.4401,28.125,5e-05,0.11008,43,,,,,
0.3593,9.375,5e-05,0.11264,44,,,,,
0.4695,43.5,5e-05,0.1152,45,,,,,
0.3462,0.90625,5e-05,0.11776,46,,,,,
0.375,16.75,5e-05,0.12032,47,,,,,
0.3155,6.0,5e-05,0.12288,48,,,,,
0.4978,26.125,5e-05,0.12544,49,,,,,
0.6256,31.125,5e-05,0.128,50,,,,,
1.1974,75.5,5e-05,0.13056,51,,,,,
0.8491,53.0,5e-05,0.13312,52,,,,,
0.5398,32.5,5e-05,0.13568,53,,,,,
0.4223,23.75,5e-05,0.13824,54,,,,,
0.3576,15.875,5e-05,0.1408,55,,,,,
