loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.0283,51.37173843383789,1.282051282051282e-06,0.00256,1,,,,,
1.6969,45.498443603515625,2.564102564102564e-06,0.00512,2,,,,,
1.4594,37.51483917236328,3.846153846153847e-06,0.00768,3,,,,,
1.2116,27.860523223876953,5.128205128205128e-06,0.01024,4,,,,,
1.0575,22.67037582397461,6.41025641025641e-06,0.0128,5,,,,,
0.8892,18.13306999206543,7.692307692307694e-06,0.01536,6,,,,,
0.8237,17.76239776611328,8.974358974358976e-06,0.01792,7,,,,,
0.6296,10.802694320678711,1.0256410256410256e-05,0.02048,8,,,,,
0.5961,10.82998275756836,1.153846153846154e-05,0.02304,9,,,,,
0.5545,11.219554901123047,1.282051282051282e-05,0.0256,10,,,,,
0.4918,9.800347328186035,1.4102564102564104e-05,0.02816,11,,,,,
0.4229,7.395480155944824,1.5384615384615387e-05,0.03072,12,,,,,
0.3748,4.609263896942139,1.6666666666666667e-05,0.03328,13,,,,,
0.3813,9.203045845031738,1.794871794871795e-05,0.03584,14,,,,,
0.351,3.8623175621032715,1.923076923076923e-05,0.0384,15,,,,,
0.3344,1.0818384885787964,2.0512820512820512e-05,0.04096,16,,,,,
0.3725,4.9603986740112305,2.1794871794871795e-05,0.04352,17,,,,,
0.3637,5.487745761871338,2.307692307692308e-05,0.04608,18,,,,,
0.3194,1.764181137084961,2.435897435897436e-05,0.04864,19,,,,,
0.2912,7.349672794342041,2.564102564102564e-05,0.0512,20,,,,,
0.317,4.637389183044434,2.6923076923076923e-05,0.05376,21,,,,,
0.2828,3.4048023223876953,2.8205128205128207e-05,0.05632,22,,,,,
0.315,3.584989309310913,2.948717948717949e-05,0.05888,23,,,,,
0.327,9.038047790527344,3.0769230769230774e-05,0.06144,24,,,,,
0.3769,14.715534210205078,3.205128205128206e-05,0.064,25,,,,,
0.2021,6.926707744598389,3.3333333333333335e-05,0.06656,26,,,,,
0.3053,10.052346229553223,3.461538461538462e-05,0.06912,27,,,,,
0.2726,7.768622875213623,3.58974358974359e-05,0.07168,28,,,,,
0.2611,3.4193432331085205,3.717948717948718e-05,0.07424,29,,,,,
0.3377,7.67283821105957,3.846153846153846e-05,0.0768,30,,,,,
0.2771,3.6627438068389893,3.974358974358974e-05,0.07936,31,,,,,
0.1868,2.166024923324585,4.1025641025641023e-05,0.08192,32,,,,,
0.3101,10.866863250732422,4.230769230769231e-05,0.08448,33,,,,,
0.4607,14.225618362426758,4.358974358974359e-05,0.08704,34,,,,,
0.4472,10.931377410888672,4.4871794871794874e-05,0.0896,35,,,,,
0.3673,6.593259811401367,4.615384615384616e-05,0.09216,36,,,,,
0.2819,2.776233434677124,4.7435897435897435e-05,0.09472,37,,,,,
0.2314,2.774083137512207,4.871794871794872e-05,0.09728,38,,,,,
0.1729,1.1116608381271362,5e-05,0.09984,39,,,,,
0.2453,1.197158694267273,4.999899863449631e-05,0.1024,40,,,,,
0.2713,1.4177465438842773,4.999599461820387e-05,0.10496,41,,,,,
0.2818,2.1740121841430664,4.999098819177214e-05,0.10752,42,,,,,
0.2538,2.058464527130127,4.9983979756262136e-05,0.11008,43,,,,,
0.2695,3.5936501026153564,4.997496987311431e-05,0.11264,44,,,,,
0.2035,4.238593101501465,4.9963959264103544e-05,0.1152,45,,,,,
0.288,6.50832462310791,4.995094881128138e-05,0.11776,46,,,,,
0.2681,2.758816719055176,4.9935939556905295e-05,0.12032,47,,,,,
0.2941,1.760817527770996,4.9918932703355256e-05,0.12288,48,,,,,
0.2658,1.2183334827423096,4.989992961303738e-05,0.12544,49,,,,,
0.2921,1.0865448713302612,4.98789318082748e-05,0.128,50,,,,,
0.0921,1.3017677068710327,4.98559409711857e-05,0.13056,51,,,,,
0.2065,2.629448413848877,4.983095894354858e-05,0.13312,52,,,,,
0.319,5.477284908294678,4.980398772665468e-05,0.13568,53,,,,,
0.2638,3.320096015930176,4.977502948114772e-05,0.13824,54,,,,,
0.2139,3.19012188911438,4.974408652685072e-05,0.1408,55,,,,,
0.2676,2.3394014835357666,4.971116134258025e-05,0.14336,56,,,,,
0.1375,0.9794241786003113,4.967625656594782e-05,0.14592,57,,,,,
0.1953,2.1582305431365967,4.963937499314857e-05,0.14848,58,,,,,
0.2314,2.3259780406951904,4.960051957873725e-05,0.15104,59,,,,,
0.2408,1.449262022972107,4.955969343539162e-05,0.1536,60,,,,,
0.2732,3.3574559688568115,4.9516899833663e-05,0.15616,61,,,,,
0.2116,2.4256696701049805,4.94721422017143e-05,0.15872,62,,,,,
0.1795,3.099599599838257,4.942542412504543e-05,0.16128,63,,,,,
0.1543,1.886043667793274,4.9376749346206006e-05,0.16384,64,,,,,
0.3137,9.076373100280762,4.9326121764495596e-05,0.1664,65,,,,,
0.3989,11.208415031433105,4.92735454356513e-05,0.16896,66,,,,,
0.3201,6.278531074523926,4.921902457152289e-05,0.17152,67,,,,,
0.2105,1.5359587669372559,4.916256353973535e-05,0.17408,68,,,,,
0.2155,1.1197763681411743,4.910416686333906e-05,0.17664,69,,,,,
0.2039,3.258237600326538,4.90438392204474e-05,0.1792,70,,,,,
0.2635,3.35679030418396,4.898158544386201e-05,0.18176,71,,,,,
0.2143,1.291114091873169,4.8917410520685635e-05,0.18432,72,,,,,
0.2439,1.2028793096542358,4.885131959192262e-05,0.18688,73,,,,,
0.2761,3.2801342010498047,4.878331795206705e-05,0.18944,74,,,,,
0.2779,4.035881042480469,4.8713411048678635e-05,0.192,75,,,,,
0.1957,1.6858159303665161,4.8641604481946314e-05,0.19456,76,,,,,
0.1984,2.9409701824188232,4.856790400423958e-05,0.19712,77,,,,,
0.2304,2.5884974002838135,4.849231551964771e-05,0.19968,78,,,,,
0.2521,2.222750186920166,4.841484508350679e-05,0.20224,79,,,,,
0.2615,2.198063850402832,4.83354989019146e-05,0.2048,80,,,,,
0.242,2.794342517852783,4.8254283331233464e-05,0.20736,81,,,,,
0.1389,0.750111997127533,4.817120487758104e-05,0.20992,82,,,,,
0.1761,1.2028688192367554,4.808627019630917e-05,0.21248,83,,,,,
0.2425,1.2760306596755981,4.799948609147061e-05,0.21504,84,,,,,
0.2301,2.105987548828125,4.791085951527408e-05,0.2176,85,,,,,
0.2388,2.335989236831665,4.782039756752727e-05,0.22016,86,,,,,
0.2327,1.7306935787200928,4.77281074950681e-05,0.22272,87,,,,,
0.1991,1.2290278673171997,4.763399669118414e-05,0.22528,88,,,,,
0.1572,1.8402066230773926,4.753807269502041e-05,0.22784,89,,,,,
0.2408,2.9964754581451416,4.744034319097535e-05,0.2304,90,,,,,
0.2964,3.1084494590759277,4.734081600808531e-05,0.23296,91,,,,,
0.2459,0.8766763806343079,4.723949911939728e-05,0.23552,92,,,,,
0.2692,2.43591570854187,4.713640064133025e-05,0.23808,93,,,,,
0.2303,2.5778164863586426,4.7031528833024976e-05,0.24064,94,,,,,
0.1812,2.3425800800323486,4.692489209568234e-05,0.2432,95,,,,,
0.1823,1.0920240879058838,4.681649897189036e-05,0.24576,96,,,,,
0.187,1.1700433492660522,4.670635814493984e-05,0.24832,97,,,,,
0.256,3.066040277481079,4.6594478438128757e-05,0.25088,98,,,,,
0.2554,2.669788360595703,4.6480868814055424e-05,0.25344,99,,,,,
0.2583,4.2058329582214355,4.636553837390051e-05,0.256,100,,,,,
0.1333,1.5537517070770264,4.6248496356697966e-05,0.25856,101,,,,,
0.1909,2.4147040843963623,4.6129752138594874e-05,0.26112,102,,,,,
0.2608,4.00382661819458,4.6009315232100324e-05,0.26368,103,,,,,
0.2342,3.660989761352539,4.588719528532342e-05,0.26624,104,,,,,
0.1786,1.3020464181900024,4.5763402081200294e-05,0.2688,105,,,,,
0.2197,1.3339086771011353,4.56379455367105e-05,0.27136,106,,,,,
0.138,0.938273549079895,4.551083570208252e-05,0.27392,107,,,,,
0.1548,1.0180875062942505,4.538208275998861e-05,0.27648,108,,,,,
0.2181,2.8458826541900635,4.5251697024729165e-05,0.27904,109,,,,,
0.194,1.5826530456542969,4.511968894140639e-05,0.2816,110,,,,,
0.168,1.5730088949203491,4.498606908508754e-05,0.28416,111,,,,,
0.2677,3.99755597114563,4.485084815995778e-05,0.28672,112,,,,,
0.1431,2.02059006690979,4.471403699846272e-05,0.28928,113,,,,,
0.1521,1.4265387058258057,4.457564656044056e-05,0.29184,114,,,,,
0.1838,1.5114198923110962,4.443568793224415e-05,0.2944,115,,,,,
0.2122,1.9173595905303955,4.429417232585288e-05,0.29696,116,,,,,
0.2203,1.657701015472412,4.415111107797445e-05,0.29952,117,,,,,
0.2407,2.0804765224456787,4.400651564913676e-05,0.30208,118,,,,,
0.2203,1.7960094213485718,4.3860397622769756e-05,0.30464,119,,,,,
0.1364,1.341951608657837,4.371276870427753e-05,0.3072,120,,,,,
0.215,3.0071752071380615,4.356364072010059e-05,0.30976,121,,,,,
0.1776,1.596082329750061,4.3413025616768424e-05,0.31232,122,,,,,
0.2344,1.7389212846755981,4.3260935459942584e-05,0.31488,123,,,,,
0.1957,2.304931163787842,4.310738243344996e-05,0.31744,124,,,,,
0.2087,1.6304627656936646,4.295237883830685e-05,0.32,125,,,,,
0.0954,0.820219099521637,4.2795937091733515e-05,0.32256,126,,,,,
0.1491,1.3551487922668457,4.2638069726159424e-05,0.32512,127,,,,,
0.1866,1.4204773902893066,4.247878938821929e-05,0.32768,128,,,,,
0.2391,2.5792551040649414,4.231810883773999e-05,0.33024,129,,,,,
0.2021,1.3659595251083374,4.215604094671835e-05,0.3328,130,,,,,
0.206,1.5640565156936646,4.199259869828998e-05,0.33536,131,,,,,
0.1297,0.8518582582473755,4.182779518568926e-05,0.33792,132,,,,,
0.1843,1.191312551498413,4.1661643611200366e-05,0.34048,133,,,,,
0.1951,2.225027084350586,4.149415728509971e-05,0.34304,134,,,,,
0.2207,1.5047447681427002,4.132534962458962e-05,0.3456,135,,,,,
0.2013,1.2493269443511963,4.115523415272358e-05,0.34816,136,,,,,
0.2115,1.2982831001281738,4.0983824497322755e-05,0.35072,137,,,,,
0.1446,0.9989425539970398,4.0811134389884433e-05,0.35328,138,,,,,
