loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9207,35.542877197265625,8.333333333333333e-07,0.008958566629339306,1,,,,,
1.669,30.468778610229492,1.6666666666666667e-06,0.01791713325867861,2,,,,,
1.5049,26.208698272705078,2.5e-06,0.026875699888017916,3,,,,,
1.3677,22.98575782775879,3.3333333333333333e-06,0.03583426651735722,4,,,,,
1.1756,18.13517189025879,4.166666666666667e-06,0.04479283314669653,5,,,,,
1.1476,17.155635833740234,5e-06,0.05375139977603583,6,,,,,
1.0401,15.245635986328125,5.833333333333334e-06,0.06270996640537514,7,,,,,
1.2512,21.982465744018555,6.666666666666667e-06,0.07166853303471445,8,,,,,
0.9741,17.148883819580078,7.500000000000001e-06,0.08062709966405375,9,,,,,
0.8271,11.191746711730957,8.333333333333334e-06,0.08958566629339305,10,,,,,
0.7202,9.038171768188477,9.166666666666666e-06,0.09854423292273236,11,,,,,
0.7005,9.725950241088867,1e-05,0.10750279955207166,12,,,,,
0.6535,9.322064399719238,9.997482711915926e-06,0.11646136618141098,13,,,,,
0.614,9.302846908569336,9.989933382359423e-06,0.12541993281075028,14,,,,,
0.5016,6.495977401733398,9.977359612865424e-06,0.1343784994400896,15,,,,,
0.3912,5.263281345367432,9.959774064153977e-06,0.1433370660694289,16,,,,,
0.4028,3.191693067550659,9.937194443381972e-06,0.1522956326987682,17,,,,,
0.4084,3.619652032852173,9.909643486313533e-06,0.1612541993281075,18,,,,,
0.3948,3.9803402423858643,9.877148934427037e-06,0.1702127659574468,19,,,,,
0.3854,4.003946304321289,9.839743506981783e-06,0.1791713325867861,20,,,,,
0.366,3.420391082763672,9.797464868072489e-06,0.1881298992161254,21,,,,,
0.3362,4.268275737762451,9.750355588704728e-06,0.19708846584546472,22,,,,,
0.3119,6.4811506271362305,9.698463103929542e-06,0.20604703247480402,23,,,,,
0.3317,3.416019916534424,9.641839665080363e-06,0.21500559910414332,24,,,,,
0.3232,1.8596832752227783,9.580542287160348e-06,0.22396416573348266,25,,,,,
0.3254,1.2751251459121704,9.514632691433108e-06,0.23292273236282196,26,,,,,
0.3228,2.3808374404907227,9.444177243274619e-06,0.24188129899216126,27,,,,,
0.3265,3.8673675060272217,9.369246885348926e-06,0.25083986562150057,28,,,,,
0.2995,1.9523696899414062,9.289917066174887e-06,0.2597984322508399,29,,,,,
0.255,6.0420823097229,9.206267664155906e-06,0.2687569988801792,30,,,,,
0.2882,4.3816375732421875,9.118382907149164e-06,0.2777155655095185,31,,,,,
0.3032,1.6355208158493042,9.026351287655294e-06,0.2866741321388578,32,,,,,
0.2872,1.8189588785171509,8.930265473713939e-06,0.2956326987681971,33,,,,,
0.3112,4.782780170440674,8.83022221559489e-06,0.3045912653975364,34,,,,,
0.2692,4.56555700302124,8.726322248378775e-06,0.3135498320268757,35,,,,,
0.2914,6.903550624847412,8.61867019052535e-06,0.322508398656215,36,,,,,
0.2041,5.612592697143555,8.507374438531606e-06,0.3314669652855543,37,,,,,
0.2699,9.857120513916016,8.392547057785662e-06,0.3404255319148936,38,,,,,
0.3349,12.088582038879395,8.274303669726427e-06,0.3493840985442329,39,,,,,
0.2876,8.686209678649902,8.152763335422612e-06,0.3583426651735722,40,,,,,
0.2865,3.9751155376434326,8.028048435688333e-06,0.3673012318029115,41,,,,,
0.2743,1.847960114479065,7.900284547855992e-06,0.3762597984322508,42,,,,,
0.3002,11.498038291931152,7.769600319330553e-06,0.38521836506159013,43,,,,,
0.1496,1.4548258781433105,7.636127338052513e-06,0.39417693169092943,44,,,,,
0.2618,5.409862518310547,7.500000000000001e-06,0.40313549832026874,45,,,,,
0.2678,1.3957769870758057,7.361355373863415e-06,0.41209406494960804,46,,,,,
0.2834,2.0071706771850586,7.2203330630288714e-06,0.42105263157894735,47,,,,,
0.2671,2.1756110191345215,7.0770750650094335e-06,0.43001119820828665,48,,,,,
0.271,1.3579522371292114,6.931725628465643e-06,0.43896976483762595,49,,,,,
0.2812,2.9987733364105225,6.78443110795936e-06,0.4479283314669653,50,,,,,
0.1582,3.827214241027832,6.635339816587109e-06,0.4568868980963046,51,,,,,
