loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9728,50.46031188964844,1.282051282051282e-06,0.00256,1,,,,,
1.7248,44.858394622802734,2.564102564102564e-06,0.00512,2,,,,,
1.3978,33.27688980102539,3.846153846153847e-06,0.00768,3,,,,,
1.2287,28.126562118530273,5.128205128205128e-06,0.01024,4,,,,,
1.004,20.011348724365234,6.41025641025641e-06,0.0128,5,,,,,
0.9057,17.794330596923828,7.692307692307694e-06,0.01536,6,,,,,
0.844,18.436281204223633,8.974358974358976e-06,0.01792,7,,,,,
0.5958,12.412803649902344,1.0256410256410256e-05,0.02048,8,,,,,
0.567,9.623801231384277,1.153846153846154e-05,0.02304,9,,,,,
0.5929,13.91800308227539,1.282051282051282e-05,0.0256,10,,,,,
0.5115,11.604803085327148,1.4102564102564104e-05,0.02816,11,,,,,
0.4244,7.490551948547363,1.5384615384615387e-05,0.03072,12,,,,,
0.3694,4.7853312492370605,1.6666666666666667e-05,0.03328,13,,,,,
0.341,7.76799201965332,1.794871794871795e-05,0.03584,14,,,,,
0.3414,5.1909003257751465,1.923076923076923e-05,0.0384,15,,,,,
0.3391,1.0427147150039673,2.0512820512820512e-05,0.04096,16,,,,,
0.3366,2.3426074981689453,2.1794871794871795e-05,0.04352,17,,,,,
0.3118,2.222882032394409,2.307692307692308e-05,0.04608,18,,,,,
0.3299,2.8785276412963867,2.435897435897436e-05,0.04864,19,,,,,
0.2966,8.048284530639648,2.564102564102564e-05,0.0512,20,,,,,
0.3538,8.35428524017334,2.6923076923076923e-05,0.05376,21,,,,,
0.3319,3.817763090133667,2.8205128205128207e-05,0.05632,22,,,,,
0.3016,3.26509690284729,2.948717948717949e-05,0.05888,23,,,,,
0.3098,6.6197333335876465,3.0769230769230774e-05,0.06144,24,,,,,
0.3435,8.121439933776855,3.205128205128206e-05,0.064,25,,,,,
0.2346,12.25289535522461,3.3333333333333335e-05,0.06656,26,,,,,
0.3422,11.30461597442627,3.461538461538462e-05,0.06912,27,,,,,
0.3067,5.63117790222168,3.58974358974359e-05,0.07168,28,,,,,
0.3219,5.563281059265137,3.717948717948718e-05,0.07424,29,,,,,
0.3092,6.753178596496582,3.846153846153846e-05,0.0768,30,,,,,
0.2848,5.354458808898926,3.974358974358974e-05,0.07936,31,,,,,
0.166,2.6065568923950195,4.1025641025641023e-05,0.08192,32,,,,,
