loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8389,45.458744049072266,1.5625e-06,0.0032,1,,,,,
1.4573,33.82422637939453,3.125e-06,0.0064,2,,,,,
1.2445,25.882665634155273,4.6875000000000004e-06,0.0096,3,,,,,
1.0879,23.039796829223633,6.25e-06,0.0128,4,,,,,
0.8887,17.972408294677734,7.8125e-06,0.016,5,,,,,
0.7989,15.185491561889648,9.375000000000001e-06,0.0192,6,,,,,
0.7051,14.352716445922852,1.09375e-05,0.0224,7,,,,,
0.5454,8.765012741088867,1.25e-05,0.0256,8,,,,,
0.499,7.3875603675842285,1.4062500000000001e-05,0.0288,9,,,,,
0.4982,11.070412635803223,1.5625e-05,0.032,10,,,,,
0.4167,7.4728546142578125,1.71875e-05,0.0352,11,,,,,
0.3537,4.376912593841553,1.8750000000000002e-05,0.0384,12,,,,,
0.3842,5.207859992980957,2.0312500000000002e-05,0.0416,13,,,,,
0.3818,5.009792804718018,2.1875e-05,0.0448,14,,,,,
0.3439,2.506113052368164,2.34375e-05,0.048,15,,,,,
0.3276,1.5069258213043213,2.5e-05,0.0512,16,,,,,
0.3224,1.5554105043411255,2.6562500000000002e-05,0.0544,17,,,,,
0.3022,4.685062885284424,2.8125000000000003e-05,0.0576,18,,,,,
0.324,7.048973083496094,2.96875e-05,0.0608,19,,,,,
0.4589,27.890567779541016,3.125e-05,0.064,20,,,,,
0.41,19.091318130493164,3.2812500000000005e-05,0.0672,21,,,,,
0.3262,5.526512622833252,3.4375e-05,0.0704,22,,,,,
0.3077,6.670179843902588,3.59375e-05,0.0736,23,,,,,
0.2973,7.632448196411133,3.7500000000000003e-05,0.0768,24,,,,,
0.2919,2.692746162414551,3.90625e-05,0.08,25,,,,,
0.3576,8.748919486999512,4.0625000000000005e-05,0.0832,26,,,,,
0.3964,6.608659744262695,4.21875e-05,0.0864,27,,,,,
0.3387,4.634921550750732,4.375e-05,0.0896,28,,,,,
0.2861,1.050970196723938,4.5312500000000004e-05,0.0928,29,,,,,
0.2955,4.621793270111084,4.6875e-05,0.096,30,,,,,
0.3027,3.5725131034851074,4.8437500000000005e-05,0.0992,31,,,,,
0.2021,1.7447646856307983,5e-05,0.1024,32,,,,,
0.2572,6.41984748840332,4.999842641886752e-05,0.1056,33,,,,,
0.3548,8.499013900756836,4.9993705873562665e-05,0.1088,34,,,,,
0.2727,4.675958633422852,4.998583895833834e-05,0.112,35,,,,,
0.3019,7.279513359069824,4.997482666353287e-05,0.1152,36,,,,,
0.2862,7.024508953094482,4.996067037544542e-05,0.1184,37,,,,,
0.209,2.009803295135498,4.99433718761614e-05,0.1216,38,,,,,
0.2276,2.3415982723236084,4.99229333433282e-05,0.1248,39,,,,,
0.2768,3.9205100536346436,4.989935734988098e-05,0.128,40,,,,,
0.3327,4.853007793426514,4.9872646863718805e-05,0.1312,41,,,,,
0.2794,3.0778682231903076,4.984280524733107e-05,0.1344,42,,,,,
0.2473,1.4314662218093872,4.980983625737411e-05,0.1376,43,,,,,
0.2534,3.6045799255371094,4.977374404419837e-05,0.1408,44,,,,,
0.2165,2.144232988357544,4.973453315132592e-05,0.144,45,,,,,
0.2782,2.950040340423584,4.9692208514878444e-05,0.1472,46,,,,,
0.2677,1.424680471420288,4.96467754629559e-05,0.1504,47,,,,,
0.2079,1.3642374277114868,4.959823971496574e-05,0.1536,48,,,,,
0.2612,3.445427417755127,4.954660738090297e-05,0.1568,49,,,,,
0.234,2.2881417274475098,4.9491884960580894e-05,0.16,50,,,,,
0.212,2.9815638065338135,4.943407934281298e-05,0.1632,51,,,,,
0.2812,1.7249114513397217,4.937319780454559e-05,0.1664,52,,,,,
0.2686,3.327752113342285,4.9309248009941914e-05,0.1696,53,,,,,
0.2878,3.0940887928009033,4.9242238009417175e-05,0.1728,54,,,,,
0.2075,1.0614863634109497,4.9172176238625164e-05,0.176,55,,,,,
0.2058,1.3298630714416504,4.909907151739633e-05,0.1792,56,,,,,
0.15,1.9871283769607544,4.9022933048627496e-05,0.1824,57,,,,,
0.2148,3.733212947845459,4.894377041712326e-05,0.1856,58,,,,,
