loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8882,48.82505416870117,3.125e-06,0.0064,1,,,,,
1.4502,35.029571533203125,6.25e-06,0.0128,2,,,,,
1.2236,27.54237937927246,9.375000000000001e-06,0.0192,3,,,,,
0.9163,17.569364547729492,1.25e-05,0.0256,4,,,,,
0.7785,15.423510551452637,1.5625e-05,0.032,5,,,,,
0.6206,10.87491226196289,1.8750000000000002e-05,0.0384,6,,,,,
0.5437,8.05350399017334,2.1875e-05,0.0448,7,,,,,
0.3825,5.3143792152404785,2.5e-05,0.0512,8,,,,,
0.3837,4.699709892272949,2.8125000000000003e-05,0.0576,9,,,,,
0.3631,4.8503546714782715,3.125e-05,0.064,10,,,,,
0.327,4.409358501434326,3.4375e-05,0.0704,11,,,,,
0.2991,1.0691691637039185,3.7500000000000003e-05,0.0768,12,,,,,
0.4524,8.960015296936035,4.0625000000000005e-05,0.0832,13,,,,,
0.5167,11.134965896606445,4.375e-05,0.0896,14,,,,,
0.3669,5.645906448364258,4.6875e-05,0.096,15,,,,,
0.3383,4.496779918670654,5e-05,0.1024,16,,,,,
0.3328,5.64428186416626,4.9993705873562665e-05,0.1088,17,,,,,
0.3105,4.083702564239502,4.997482666353287e-05,0.1152,18,,,,,
0.3097,1.3663619756698608,4.99433718761614e-05,0.1216,19,,,,,
0.4157,6.818690776824951,4.989935734988098e-05,0.128,20,,,,,
0.4405,7.2412214279174805,4.984280524733107e-05,0.1344,21,,,,,
0.3262,3.248607635498047,4.977374404419837e-05,0.1408,22,,,,,
0.2991,1.474893569946289,4.9692208514878444e-05,0.1472,23,,,,,
0.275,3.6146726608276367,4.959823971496574e-05,0.1536,24,,,,,
0.3117,4.651814937591553,4.9491884960580894e-05,0.16,25,,,,,
0.1864,3.461911916732788,4.937319780454559e-05,0.1664,26,,,,,
0.3198,6.993297100067139,4.9242238009417175e-05,0.1728,27,,,,,
0.3108,7.213445663452148,4.909907151739633e-05,0.1792,28,,,,,
0.2401,2.7555220127105713,4.894377041712326e-05,0.1856,29,,,,,
0.2688,5.382211685180664,4.877641290737884e-05,0.192,30,,,,,
0.2475,2.44026517868042,4.8597083257709194e-05,0.1984,31,,,,,
0.1856,1.144792914390564,4.8405871765993433e-05,0.2048,32,,,,,
0.2779,3.183995008468628,4.820287471297598e-05,0.2112,33,,,,,
0.3095,4.939578056335449,4.7988194313786275e-05,0.2176,34,,,,,
0.2988,4.564412593841553,4.7761938666470403e-05,0.224,35,,,,,
0.2846,2.492621660232544,4.752422169756048e-05,0.2304,36,,,,,
0.2636,2.3896899223327637,4.72751631047092e-05,0.2368,37,,,,,
0.2018,2.307145357131958,4.701488829641845e-05,0.2432,38,,,,,
0.2624,2.951965808868408,4.674352832889239e-05,0.2496,39,,,,,
0.2704,1.7242010831832886,4.6461219840046654e-05,0.256,40,,,,,
0.2834,2.8080945014953613,4.6168104980707107e-05,0.2624,41,,,,,
0.2557,2.854501724243164,4.586433134303257e-05,0.2688,42,,,,,
0.3012,3.4708046913146973,4.5550051886197754e-05,0.2752,43,,,,,
0.2381,1.329399585723877,4.522542485937369e-05,0.2816,44,,,,,
0.1796,1.3354450464248657,4.489061372204453e-05,0.288,45,,,,,
0.3162,3.499681234359741,4.454578706170075e-05,0.2944,46,,,,,
0.3293,4.5106635093688965,4.419111850895028e-05,0.3008,47,,,,,
0.3061,3.5932211875915527,4.382678665009028e-05,0.3072,48,,,,,
0.2496,1.6294066905975342,4.345297493718352e-05,0.3136,49,,,,,
0.2438,2.1085703372955322,4.306987159568479e-05,0.32,50,,,,,
0.1709,3.33498477935791,4.267766952966369e-05,0.3264,51,,,,,
0.3024,4.47028112411499,4.227656622467162e-05,0.3328,52,,,,,
0.3309,5.812528133392334,4.186676364830186e-05,0.3392,53,,,,,
0.3424,5.162832736968994,4.144846814849282e-05,0.3456,54,,,,,
0.2374,2.2497339248657227,4.10218903496256e-05,0.352,55,,,,,
0.23,1.9868066310882568,4.058724504646834e-05,0.3584,56,,,,,
0.1501,1.0543123483657837,4.01447510960205e-05,0.3648,57,,,,,
0.2031,1.6128679513931274,3.969463130731183e-05,0.3712,58,,,,,
0.272,1.1217494010925293,3.92371123292113e-05,0.3776,59,,,,,
0.2586,1.0167274475097656,3.8772424536302564e-05,0.384,60,,,,,
0.2576,0.7639206647872925,3.830080191288342e-05,0.3904,61,,,,,
0.2192,1.4220218658447266,3.782248193514766e-05,0.3968,62,,,,,
0.1837,1.183877944946289,3.7337705451608674e-05,0.4032,63,,,,,
0.2613,3.7108051776885986,3.6846716561824965e-05,0.4096,64,,,,,
0.252,2.612365961074829,3.634976249348867e-05,0.416,65,,,,,
0.2376,2.461540699005127,3.5847093477938956e-05,0.4224,66,,,,,
0.2266,1.9344196319580078,3.533896262416302e-05,0.4288,67,,,,,
0.2424,1.2878985404968262,3.4825625791348096e-05,0.4352,68,,,,,
0.2142,1.2574234008789062,3.4307341460048633e-05,0.4416,69,,,,,
0.1679,0.9808366894721985,3.378437060203357e-05,0.448,70,,,,,
0.217,1.3337209224700928,3.3256976548879184e-05,0.4544,71,,,,,
0.2268,1.978631615638733,3.272542485937369e-05,0.4608,72,,,,,
0.2157,1.3927479982376099,3.218998318580043e-05,0.4672,73,,,,,
0.1969,1.1739195585250854,3.165092113916688e-05,0.4736,74,,,,,
0.1958,1.3536702394485474,3.110851015344735e-05,0.48,75,,,,,
0.1869,2.447571039199829,3.056302334890786e-05,0.4864,76,,,,,
