loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9126,100.77355194091797,2.5e-06,0.00512,1,,,,,
1.6679,88.63162994384766,5e-06,0.01024,2,,,,,
1.1136,49.10041809082031,7.5e-06,0.01536,3,,,,,
0.7863,28.340219497680664,1e-05,0.02048,4,,,,,
0.6199,21.689781188964844,1.25e-05,0.0256,5,,,,,
0.4412,10.437077522277832,1.5e-05,0.03072,6,,,,,
0.4231,14.56195068359375,1.75e-05,0.03584,7,,,,,
0.3508,12.16640567779541,2e-05,0.04096,8,,,,,
0.3415,4.7373480796813965,2.25e-05,0.04608,9,,,,,
0.3651,7.127115726470947,2.5e-05,0.0512,10,,,,,
0.3279,4.4413371086120605,2.7500000000000004e-05,0.05632,11,,,,,
0.3192,4.002185821533203,3e-05,0.06144,12,,,,,
0.4123,13.587748527526855,3.2500000000000004e-05,0.06656,13,,,,,
0.3324,12.58749008178711,3.5e-05,0.07168,14,,,,,
0.3106,9.422050476074219,3.7500000000000003e-05,0.0768,15,,,,,
0.4078,12.542463302612305,4e-05,0.08192,16,,,,,
0.3376,3.09883451461792,4.25e-05,0.08704,17,,,,,
0.3054,3.2147011756896973,4.5e-05,0.09216,18,,,,,
0.2979,1.3725606203079224,4.75e-05,0.09728,19,,,,,
0.2908,5.711979866027832,5e-05,0.1024,20,,,,,
0.2701,1.8467724323272705,4.999597169822646e-05,0.10752,21,,,,,
0.4243,10.880231857299805,4.998388809108303e-05,0.11264,22,,,,,
0.3898,12.357476234436035,4.9963753072683025e-05,0.11776,23,,,,,
0.386,10.658100128173828,4.9935573131820854e-05,0.12288,24,,,,,
0.2914,3.5541467666625977,4.989935734988098e-05,0.128,25,,,,,
0.1096,0.9631916284561157,4.985511739791129e-05,0.13312,26,,,,,
0.2164,3.218170166015625,4.980286753286195e-05,0.13824,27,,,,,
0.2401,1.9661762714385986,4.974262459299087e-05,0.14336,28,,,,,
0.2533,2.0868303775787354,4.9674407992437394e-05,0.14848,29,,,,,
0.3109,10.193832397460938,4.959823971496574e-05,0.1536,30,,,,,
0.2748,5.593893051147461,4.9514144306880506e-05,0.15872,31,,,,,
0.1598,3.5873308181762695,4.9422148869116194e-05,0.16384,32,,,,,
0.209,4.95272970199585,4.932228304850363e-05,0.16896,33,,,,,
0.2536,2.7284188270568848,4.9214579028215776e-05,0.17408,34,,,,,
0.2516,4.952291965484619,4.909907151739633e-05,0.1792,35,,,,,
0.2116,1.469666838645935,4.897579773997415e-05,0.18432,36,,,,,
0.2855,4.4402265548706055,4.88447974226673e-05,0.18944,37,,,,,
0.1657,0.9673739671707153,4.870611278218066e-05,0.19456,38,,,,,
0.1253,1.1889086961746216,4.8559788511600876e-05,0.19968,39,,,,,
0.2364,4.563655376434326,4.8405871765993433e-05,0.2048,40,,,,,
0.2456,2.2397472858428955,4.8244412147206284e-05,0.20992,41,,,,,
0.2308,2.2036685943603516,4.807546168788494e-05,0.21504,42,,,,,
0.2577,4.774740695953369,4.7899074834704165e-05,0.22016,43,,,,,
0.1957,1.4351675510406494,4.7715308430821864e-05,0.22528,44,,,,,
0.1502,2.9938583374023438,4.752422169756048e-05,0.2304,45,,,,,
0.1962,2.2581534385681152,4.732587621532214e-05,0.23552,46,,,,,
0.2212,3.41471529006958,4.712033590374346e-05,0.24064,47,,,,,
0.244,7.26369047164917,4.690766700109659e-05,0.24576,48,,,,,
0.2032,2.523857355117798,4.668793804294294e-05,0.25088,49,,,,,
0.1896,2.047435760498047,4.6461219840046654e-05,0.256,50,,,,,
0.0729,1.179640531539917,4.622758545555485e-05,0.26112,51,,,,,
0.1915,3.8304667472839355,4.598711018145193e-05,0.26624,52,,,,,
0.1717,2.3429999351501465,4.5739871514295786e-05,0.27136,53,,,,,
0.2329,4.982673645019531,4.54859491302433e-05,0.27648,54,,,,,
0.2133,2.7827141284942627,4.522542485937369e-05,0.2816,55,,,,,
0.2545,6.557465076446533,4.495838265931754e-05,0.28672,56,,,,,
0.1468,2.425907611846924,4.4684908588200304e-05,0.29184,57,,,,,
0.1464,1.7405586242675781,4.440509077690883e-05,0.29696,58,,,,,
0.1929,2.296712875366211,4.4119019400689967e-05,0.30208,59,,,,,
0.212,2.892430305480957,4.382678665009028e-05,0.3072,60,,,,,
0.191,2.480151891708374,4.3528486701246376e-05,0.31232,61,,,,,
0.1768,2.7428202629089355,4.3224215685535294e-05,0.31744,62,,,,,
0.1602,1.9797850847244263,4.2914071658594805e-05,0.32256,63,,,,,
0.1686,2.1525917053222656,4.2598154568723626e-05,0.32768,64,,,,,
0.1632,2.0393102169036865,4.227656622467162e-05,0.3328,65,,,,,
0.1898,2.649596691131592,4.1949410262830525e-05,0.33792,66,,,,,
0.1929,3.0682036876678467,4.161679211383565e-05,0.34304,67,,,,,
0.2159,2.15002179145813,4.127881896858934e-05,0.34816,68,,,,,
0.1425,1.710760235786438,4.093559974371725e-05,0.35328,69,,,,,
0.1359,2.4007325172424316,4.058724504646834e-05,0.3584,70,,,,,
0.1512,1.5393623113632202,4.023386713907021e-05,0.36352,71,,,,,
0.1994,2.7606146335601807,3.987557990255093e-05,0.36864,72,,,,,
0.1786,2.250715970993042,3.9512498800039335e-05,0.37376,73,,,,,
0.196,2.1020796298980713,3.914474083955537e-05,0.37888,74,,,,,
0.1972,2.242872953414917,3.8772424536302564e-05,0.384,75,,,,,
0.1136,1.3176730871200562,3.8395669874474915e-05,0.38912,76,,,,,
0.1747,2.1414854526519775,3.801459826859022e-05,0.39424,77,,,,,
0.142,1.5337976217269897,3.762933252436253e-05,0.39936,78,,,,,
0.1703,1.9156436920166016,3.7239996799126314e-05,0.40448,79,,,,,
0.2007,2.585742235183716,3.6846716561824965e-05,0.4096,80,,,,,
0.1676,2.5120890140533447,3.6449618552576695e-05,0.41472,81,,,,,
0.1272,1.5406005382537842,3.604883074183068e-05,0.41984,82,,,,,
0.1521,1.5591069459915161,3.564448228912682e-05,0.42496,83,,,,,
0.174,1.9289361238479614,3.5236703501472266e-05,0.43008,84,,,,,
0.2044,2.349090814590454,3.4825625791348096e-05,0.4352,85,,,,,
0.1879,2.7947051525115967,3.44113816343598e-05,0.44032,86,,,,,
0.1618,1.759911060333252,3.399410452654518e-05,0.44544,87,,,,,
0.1414,1.6134637594223022,3.357392894135329e-05,0.45056,88,,,,,
0.1917,2.8378257751464844,3.315099028630855e-05,0.45568,89,,,,,
0.1777,3.086456060409546,3.272542485937369e-05,0.4608,90,,,,,
0.1613,1.8921010494232178,3.229736980502584e-05,0.46592,91,,,,,
0.1701,2.0157039165496826,3.186696307005976e-05,0.47104,92,,,,,
0.1742,3.018502712249756,3.143434335913256e-05,0.47616,93,,,,,
0.146,2.11090350151062,3.099965009006415e-05,0.48128,94,,,,,
0.0784,1.5003552436828613,3.056302334890786e-05,0.4864,95,,,,,
0.1629,2.5534842014312744,3.0124603844805767e-05,0.49152,96,,,,,
0.2012,2.720111608505249,2.9684532864643122e-05,0.49664,97,,,,,
0.1826,3.0264501571655273,2.9242952227516722e-05,0.50176,98,,,,,
0.1757,3.730343818664551,2.8800004239031684e-05,0.50688,99,,,,,
0.1735,2.210932731628418,2.8355831645441388e-05,0.512,100,,,,,
0.0776,2.603097677230835,2.791057758764557e-05,0.51712,101,,,,,
0.1908,3.477365493774414,2.746438555506109e-05,0.52224,102,,,,,
0.1469,1.869023084640503,2.7017399339380434e-05,0.52736,103,,,,,
0.1832,4.672806739807129,2.656976298823284e-05,0.53248,104,,,,,
0.219,6.619487762451172,2.6121620758762877e-05,0.5376,105,,,,,
0.2364,5.040067672729492,2.5673117071141572e-05,0.54272,106,,,,,
0.0756,1.1293649673461914,2.5224396462024947e-05,0.54784,107,,,,,
0.1322,1.8630037307739258,2.4775603537975052e-05,0.55296,108,,,,,
0.1684,3.0168302059173584,2.4326882928858434e-05,0.55808,109,,,,,
0.1849,2.8058955669403076,2.3878379241237136e-05,0.5632,110,,,,,
0.1506,2.330779552459717,2.3430237011767167e-05,0.56832,111,,,,,
0.1544,2.1253182888031006,2.2982600660619572e-05,0.57344,112,,,,,
0.1446,2.3234338760375977,2.2535614444938912e-05,0.57856,113,,,,,
0.1807,3.2061917781829834,2.2089422412354432e-05,0.58368,114,,,,,
0.1626,2.5897715091705322,2.164416835455862e-05,0.5888,115,,,,,
0.1516,2.139819860458374,2.119999576096832e-05,0.59392,116,,,,,
