loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.9236,48.126583099365234,1.282051282051282e-06,0.00256,1,,,,,
1.6828,42.8470344543457,2.564102564102564e-06,0.00512,2,,,,,
1.4314,34.454647064208984,3.846153846153847e-06,0.00768,3,,,,,
1.1906,25.865896224975586,5.128205128205128e-06,0.01024,4,,,,,
1.0231,20.646684646606445,6.41025641025641e-06,0.0128,5,,,,,
0.8866,16.934768676757812,7.692307692307694e-06,0.01536,6,,,,,
0.87,17.940153121948242,8.974358974358976e-06,0.01792,7,,,,,
0.6036,11.461313247680664,1.0256410256410256e-05,0.02048,8,,,,,
0.5328,8.185798645019531,1.153846153846154e-05,0.02304,9,,,,,
0.5086,8.818731307983398,1.282051282051282e-05,0.0256,10,,,,,
0.4941,10.053216934204102,1.4102564102564104e-05,0.02816,11,,,,,
0.4222,6.869561195373535,1.5384615384615387e-05,0.03072,12,,,,,
0.384,5.383480548858643,1.6666666666666667e-05,0.03328,13,,,,,
0.3226,6.173893451690674,1.794871794871795e-05,0.03584,14,,,,,
0.3222,2.615015745162964,1.923076923076923e-05,0.0384,15,,,,,
0.3384,3.49798846244812,2.0512820512820512e-05,0.04096,16,,,,,
0.3735,6.072286605834961,2.1794871794871795e-05,0.04352,17,,,,,
0.3642,5.414419651031494,2.307692307692308e-05,0.04608,18,,,,,
0.319,1.937709927558899,2.435897435897436e-05,0.04864,19,,,,,
0.3089,9.222237586975098,2.564102564102564e-05,0.0512,20,,,,,
0.3492,6.6315107345581055,2.6923076923076923e-05,0.05376,21,,,,,
0.3357,4.391232490539551,2.8205128205128207e-05,0.05632,22,,,,,
0.2645,2.6884725093841553,2.948717948717949e-05,0.05888,23,,,,,
0.2728,5.761518955230713,3.0769230769230774e-05,0.06144,24,,,,,
0.3821,12.230103492736816,3.205128205128206e-05,0.064,25,,,,,
0.2102,3.5397143363952637,3.3333333333333335e-05,0.06656,26,,,,,
0.29,7.617680549621582,3.461538461538462e-05,0.06912,27,,,,,
0.2929,7.527599334716797,3.58974358974359e-05,0.07168,28,,,,,
0.2708,3.0721590518951416,3.717948717948718e-05,0.07424,29,,,,,
