loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8266,45.80357360839844,2.5e-06,0.00512,1,,,,,
1.4947,35.346923828125,5e-06,0.01024,2,,,,,
1.1774,25.812480926513672,7.5e-06,0.01536,3,,,,,
0.8708,17.215377807617188,1e-05,0.02048,4,,,,,
0.7375,14.817030906677246,1.25e-05,0.0256,5,,,,,
0.569,10.602002143859863,1.5e-05,0.03072,6,,,,,
0.5183,9.209954261779785,1.75e-05,0.03584,7,,,,,
0.3795,4.321038246154785,2e-05,0.04096,8,,,,,
0.3467,2.305440902709961,2.25e-05,0.04608,9,,,,,
0.3811,6.907357692718506,2.5e-05,0.0512,10,,,,,
0.3309,3.9593288898468018,2.7500000000000004e-05,0.05632,11,,,,,
0.2968,1.2501617670059204,3e-05,0.06144,12,,,,,
0.4326,9.640130043029785,3.2500000000000004e-05,0.06656,13,,,,,
0.4261,10.322909355163574,3.5e-05,0.07168,14,,,,,
0.2923,2.0028092861175537,3.7500000000000003e-05,0.0768,15,,,,,
0.3717,8.899776458740234,4e-05,0.08192,16,,,,,
0.4509,12.11805248260498,4.25e-05,0.08704,17,,,,,
0.3471,6.8721137046813965,4.5e-05,0.09216,18,,,,,
0.2787,2.280357599258423,4.75e-05,0.09728,19,,,,,
0.7288,20.769113540649414,5e-05,0.1024,20,,,,,
0.6339,14.98091983795166,4.999597169822646e-05,0.10752,21,,,,,
0.3475,3.63628888130188,4.998388809108303e-05,0.11264,22,,,,,
0.3098,0.9939704537391663,4.9963753072683025e-05,0.11776,23,,,,,
0.3159,2.4920852184295654,4.9935573131820854e-05,0.12288,24,,,,,
0.3105,1.3237074613571167,4.989935734988098e-05,0.128,25,,,,,
0.4058,4.9925689697265625,4.985511739791129e-05,0.13312,26,,,,,
0.3748,3.5189895629882812,4.980286753286195e-05,0.13824,27,,,,,
0.2943,1.4957237243652344,4.974262459299087e-05,0.14336,28,,,,,
0.2707,1.9104570150375366,4.9674407992437394e-05,0.14848,29,,,,,
0.3117,3.048318862915039,4.959823971496574e-05,0.1536,30,,,,,
0.3071,2.5270752906799316,4.9514144306880506e-05,0.15872,31,,,,,
0.2287,1.8784059286117554,4.9422148869116194e-05,0.16384,32,,,,,
0.2715,2.335794687271118,4.932228304850363e-05,0.16896,33,,,,,
0.2518,0.8504701852798462,4.9214579028215776e-05,0.17408,34,,,,,
0.2409,2.789187431335449,4.909907151739633e-05,0.1792,35,,,,,
0.2496,1.2564693689346313,4.897579773997415e-05,0.18432,36,,,,,
0.2635,1.8431971073150635,4.88447974226673e-05,0.18944,37,,,,,
0.1841,1.0559813976287842,4.870611278218066e-05,0.19456,38,,,,,
0.2363,1.2312390804290771,4.8559788511600876e-05,0.19968,39,,,,,
0.2411,3.0518507957458496,4.8405871765993433e-05,0.2048,40,,,,,
0.2386,0.9245002269744873,4.8244412147206284e-05,0.20992,41,,,,,
0.2127,0.9558897018432617,4.807546168788494e-05,0.21504,42,,,,,
0.1997,1.2538679838180542,4.7899074834704165e-05,0.22016,43,,,,,
0.1905,0.8079788684844971,4.7715308430821864e-05,0.22528,44,,,,,
0.2414,3.9858646392822266,4.752422169756048e-05,0.2304,45,,,,,
0.3347,5.199102878570557,4.732587621532214e-05,0.23552,46,,,,,
0.3288,6.03427267074585,4.712033590374346e-05,0.24064,47,,,,,
0.2936,4.544779300689697,4.690766700109659e-05,0.24576,48,,,,,
0.2178,1.4973794221878052,4.668793804294294e-05,0.25088,49,,,,,
0.2483,3.780881404876709,4.6461219840046654e-05,0.256,50,,,,,
0.2128,2.723846435546875,4.622758545555485e-05,0.26112,51,,,,,
0.2613,2.4799647331237793,4.598711018145193e-05,0.26624,52,,,,,
0.2237,0.8776760101318359,4.5739871514295786e-05,0.27136,53,,,,,
0.3116,3.496548652648926,4.54859491302433e-05,0.27648,54,,,,,
0.2791,2.6756131649017334,4.522542485937369e-05,0.2816,55,,,,,
0.2357,1.4347673654556274,4.495838265931754e-05,0.28672,56,,,,,
0.1646,0.7417730689048767,4.4684908588200304e-05,0.29184,57,,,,,
0.3206,2.787235736846924,4.440509077690883e-05,0.29696,58,,,,,
0.3951,4.239166736602783,4.4119019400689967e-05,0.30208,59,,,,,
0.3687,4.207694053649902,4.382678665009028e-05,0.3072,60,,,,,
0.2883,2.750317335128784,4.3528486701246376e-05,0.31232,61,,,,,
0.2313,0.8220434784889221,4.3224215685535294e-05,0.31744,62,,,,,
0.2027,1.2714630365371704,4.2914071658594805e-05,0.32256,63,,,,,
0.2552,2.860063314437866,4.2598154568723626e-05,0.32768,64,,,,,
0.2557,2.447572946548462,4.227656622467162e-05,0.3328,65,,,,,
0.2591,1.6949927806854248,4.1949410262830525e-05,0.33792,66,,,,,
0.2158,0.9828400015830994,4.161679211383565e-05,0.34304,67,,,,,
0.2354,1.8880659341812134,4.127881896858934e-05,0.34816,68,,,,,
0.219,1.538404941558838,4.093559974371725e-05,0.35328,69,,,,,
0.1295,0.9705279469490051,4.058724504646834e-05,0.3584,70,,,,,
0.2036,0.6328600645065308,4.023386713907021e-05,0.36352,71,,,,,
0.2502,1.695969581604004,3.987557990255093e-05,0.36864,72,,,,,
0.2481,2.4452757835388184,3.9512498800039335e-05,0.37376,73,,,,,
0.2734,2.4186055660247803,3.914474083955537e-05,0.37888,74,,,,,
0.2497,1.5713297128677368,3.8772424536302564e-05,0.384,75,,,,,
0.1317,0.45420050621032715,3.8395669874474915e-05,0.38912,76,,,,,
0.252,2.5881459712982178,3.801459826859022e-05,0.39424,77,,,,,
0.2908,2.804202079772949,3.762933252436253e-05,0.39936,78,,,,,
0.2654,2.475160598754883,3.7239996799126314e-05,0.40448,79,,,,,
0.2231,1.5753074884414673,3.6846716561824965e-05,0.4096,80,,,,,
0.1994,0.5173153281211853,3.6449618552576695e-05,0.41472,81,,,,,
0.163,1.1256005764007568,3.604883074183068e-05,0.41984,82,,,,,
0.2048,0.8302215337753296,3.564448228912682e-05,0.42496,83,,,,,
